Approved Symbol	Approved Name	Previous Symbols	Previous Name	Synonyms	Chromosome	Gene Family ID
GABRA1	gamma-aminobutyric acid type A receptor alpha1 subunit		gamma-aminobutyric acid (GABA) A receptor, alpha 1	EJM5	5q34	563
GABRA2	gamma-aminobutyric acid type A receptor alpha2 subunit		gamma-aminobutyric acid (GABA) A receptor, alpha 2		4p12	563
GABRA3	gamma-aminobutyric acid type A receptor alpha3 subunit		gamma-aminobutyric acid (GABA) A receptor, alpha 3		Xq28	563
GABRA4	gamma-aminobutyric acid type A receptor alpha4 subunit		gamma-aminobutyric acid (GABA) A receptor, alpha 4		4p12	563
GABRA5	gamma-aminobutyric acid type A receptor alpha5 subunit		gamma-aminobutyric acid (GABA) A receptor, alpha 5		15q12	563
GABRA6	gamma-aminobutyric acid type A receptor alpha6 subunit		gamma-aminobutyric acid (GABA) A receptor, alpha 6		5q34	563
GABRB1	gamma-aminobutyric acid type A receptor beta1 subunit		gamma-aminobutyric acid (GABA) A receptor, beta 1		4p12	563
GABRB2	gamma-aminobutyric acid type A receptor beta2 subunit		gamma-aminobutyric acid (GABA) A receptor, beta 2		5q34	563
GABRB3	gamma-aminobutyric acid type A receptor beta3 subunit		gamma-aminobutyric acid (GABA) A receptor, beta 3		15q12	563
GABRD	gamma-aminobutyric acid type A receptor delta subunit		gamma-aminobutyric acid (GABA) A receptor, delta		1p36.33	563
GABRE	gamma-aminobutyric acid type A receptor epsilon subunit		gamma-aminobutyric acid (GABA) A receptor, epsilon		Xq28	563
GABRG1	gamma-aminobutyric acid type A receptor gamma1 subunit		gamma-aminobutyric acid (GABA) A receptor, gamma 1		4p12	563
GABRG2	gamma-aminobutyric acid type A receptor gamma2 subunit		gamma-aminobutyric acid (GABA) A receptor, gamma 2		5q34	563
GABRG3	gamma-aminobutyric acid type A receptor gamma3 subunit		gamma-aminobutyric acid (GABA) A receptor, gamma 3		15q12	563
GABRP	gamma-aminobutyric acid type A receptor pi subunit		gamma-aminobutyric acid (GABA) A receptor, pi		5q35.1	563
GABRQ	gamma-aminobutyric acid type A receptor theta subunit		"gamma-aminobutyric acid (GABA) receptor, theta, ""gamma-aminobutyric acid (GABA) A receptor, theta"""	THETA	Xq28	563
GABRR1	gamma-aminobutyric acid type A receptor rho1 subunit		"gamma-aminobutyric acid (GABA) receptor, rho 1, ""gamma-aminobutyric acid (GABA) A receptor, rho 1"""		6q15	563
GABRR2	gamma-aminobutyric acid type A receptor rho2 subunit		"gamma-aminobutyric acid (GABA) receptor, rho 2, ""gamma-aminobutyric acid (GABA) A receptor, rho 2"""		6q15	563
GABRR3	gamma-aminobutyric acid type A receptor rho3 subunit (gene/pseudogene)		"gamma-aminobutyric acid (GABA) receptor, rho 3, ""gamma-aminobutyric acid (GABA) A receptor, rho 3"", ""gamma-aminobutyric acid (GABA) A receptor, rho 3 (gene/pseudogene)"""		3q11.2	563
GAD1	glutamate decarboxylase 1	GAD	"glutamate decarboxylase 1 (brain, 67kD), ""glutamate decarboxylase 1 (brain, 67kDa)"""		2q31.1	
GAD2	glutamate decarboxylase 2		"glutamate decarboxylase 2 (pancreatic islets and brain, 65kD), ""glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)"""	GAD65	10p12.1	
GADD45A	growth arrest and DNA damage inducible alpha	DDIT1	growth arrest and DNA-damage-inducible, alpha	GADD45	1p31.3	
GADD45B	growth arrest and DNA damage inducible beta	MYD118	growth arrest and DNA-damage-inducible, beta	GADD45BETA, DKFZP566B133	19p13.3	
GADD45G	growth arrest and DNA damage inducible gamma		growth arrest and DNA-damage-inducible, gamma	DDIT2, GADD45gamma, GRP17, CR6	9q22.2	
GADD45GIP1	GADD45G interacting protein 1		growth arrest and DNA-damage-inducible, gamma interacting protein 1	PLINP-1, MGC4667, MGC4758, CKBBP2, PRG6, Plinp1, CRIF1, CKbetaBP2	19p13.13	
GADL1	glutamate decarboxylase like 1		glutamate decarboxylase-like 1		3p24.1-p23	
GAGE1	G antigen 1			CT4.1	Xp11.23	
GAGE2A	G antigen 2A	GAGE2	G antigen 2	CT4.2	Xp11.23	
GAGE2B	G antigen 2B				Xp11.23 not on reference assembly	
GAGE2C	G antigen 2C				Xp11.23 not on reference assembly	
GAGE2D	G antigen 2D			GAGE8	Xp11.23 not on reference assembly	
GAGE2E	G antigen 2E			GAGE8	Xp11.23	
GAGE10	G antigen 10			OTTHUMG00000024136	Xp11.23	
GAGE12B	G antigen 12B			OTTHUMG00000024142	Xp11.23	
GAGE12C	G antigen 12C			OTTHUMG00000024144	Xp11.23	
GAGE12D	G antigen 12D			OTTHUMG00000024145	Xp11.23	
GAGE12E	G antigen 12E			OTTHUMG00000024146	Xp11.23	
GAGE12F	G antigen 12F			OTTHUMG00000024147	Xp11.23	
GAGE12G	G antigen 12G			OTTHUMG00000024148	Xp11.23	
GAGE12H	G antigen 12H			OTTHUMG00000024149	Xp11.23	
GAGE12I	G antigen 12I	GAGE7B	G antigen 7B	OTTHUMG00000067390	Xp11.23 not on reference assembly	
GAGE12J	G antigen 12J	GAGE11	G antigen 11	OTTHUMG00000024137	Xp11.23	
GAGE13	G antigen 13	GAGE12A	G antigen 12A	OTTHUMG00000024138	Xp11.23	
GAK	cyclin G associated kinase			DNAJC26	4p16.3	584|837
GAL	galanin and GMAP prepropeptide	GALN	galanin	GMAP, GAL-GMAP, GLNN	11q13.2	542
GAL3ST1	galactose-3-O-sulfotransferase 1			CST	22q12.2	763
GAL3ST2	galactose-3-O-sulfotransferase 2			GP3ST	2q37.3	763
GAL3ST3	galactose-3-O-sulfotransferase 3			GAL3ST2	11q13.1	763
GAL3ST4	galactose-3-O-sulfotransferase 4			FLJ12116	7q22.1	763
GALC	galactosylceramidase		galactosylceramidase (Krabbe disease)		14q31.3	
GALE	UDP-galactose-4-epimerase		galactose-4-epimerase, UDP-	SDR1E1	1p36.11	743
GALK1	galactokinase 1	GALK			17q25.1	
GALK2	galactokinase 2			GK2	15q21.1-q21.2	
GALM	galactose mutarotase				2p22.1	
GALNS	galactosamine (N-acetyl)-6-sulfatase		galactosamine (N-acetyl)-6-sulfate sulfatase	GAS, GALNAC6S	16q24.3	410
GALNT1	polypeptide N-acetylgalactosaminyltransferase 1		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	GalNAc-T1	18q12.2	433
GALNT2	polypeptide N-acetylgalactosaminyltransferase 2		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)	GalNAc-T2	1q42.13	433
GALNT3	polypeptide N-acetylgalactosaminyltransferase 3		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	GalNAc-T3, HHS, HFTC	2q24.3	433
GALNT4	polypeptide N-acetylgalactosaminyltransferase 4		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)	GalNAc-T4	12q21.33	433
GALNT5	polypeptide N-acetylgalactosaminyltransferase 5		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)	GalNAc-T5	2q24.1	433
GALNT6	polypeptide N-acetylgalactosaminyltransferase 6		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)	GalNAc-T6	12q13.13	433
GALNT7	polypeptide N-acetylgalactosaminyltransferase 7		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	GALNAC-T7	4q34.1	433
GALNT8	polypeptide N-acetylgalactosaminyltransferase 8		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 8 (GalNAc-T8)	GALNAC-T8	12p13.32	433
GALNT9	polypeptide N-acetylgalactosaminyltransferase 9		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)	GALNAC-T9	12q24.33	433
GALNT10	polypeptide N-acetylgalactosaminyltransferase 10		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)	GalNAc-T10	5q33.2	433
GALNT11	polypeptide N-acetylgalactosaminyltransferase 11		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	GalNAc-T11	7q36.1	433
GALNT12	polypeptide N-acetylgalactosaminyltransferase 12		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)	GalNAc-T12	9q22.33	433
GALNT13	polypeptide N-acetylgalactosaminyltransferase 13		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13)	KIAA1918, GalNAc-T13	2q23.3-q24.1	433
GALNT14	polypeptide N-acetylgalactosaminyltransferase 14		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)	GalNac-T10, FLJ12691, GalNac-T14	2p23.1	433
GALNT15	polypeptide N-acetylgalactosaminyltransferase 15	GALNTL2	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 2, ""UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 15"""	GALNT7, pp-GalNAc-T15	3p25.1	433
GALNT16	polypeptide N-acetylgalactosaminyltransferase 16	GALNTL1	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 1, ""UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 16"""	KIAA1130, GalNAc-T16	14q24.1	433
GALNT17	polypeptide N-acetylgalactosaminyltransferase 17	WBSCR17	Williams-Beuren syndrome chromosome region 17	GALNTL3, GalNAc-T5L, GalNAc-T19, GalNAc-T17, ppGalNAc-T17	7q11.22	433
GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	GALNTL4	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 4, ""UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 18"""	MGC71806, GALNT15, GalNAc-T18	11p15.4	433
GALNTL5	polypeptide N-acetylgalactosaminyltransferase like 5	GALNT15	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 15, ""UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 5"""	GalNAc-T5L	7q36.1	433
GALNTL6	polypeptide N-acetylgalactosaminyltransferase like 6		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6	GALNT17, GalNAc-T6L	4q34.1	433
GALP	galanin like peptide				19q13.43	542
GALR1	galanin receptor 1	GALNR1, GALNR			18q23	226
GALR2	galanin receptor 2			GALNR2	17q25.1	226
GALR3	galanin receptor 3				22q13.1	226
GALT	galactose-1-phosphate uridylyltransferase				9p13.3	
GAMT	guanidinoacetate N-methyltransferase			PIG2, TP53I2	19p13.3	1400
GAN	gigaxonin		giant axonal neuropathy (gigaxonin)	GAN1, KLHL16	16q23.2	861|617
GANAB	glucosidase II alpha subunit		glucosidase, alpha; neutral AB	GluII, G2AN, KIAA0088, GIIA	11q12.3	
GANC	glucosidase alpha, neutral C		glucosidase, alpha; neutral C		15q15.1	
GAP43	growth associated protein 43			B-50, PP46	3q13.31	
GAPDH	glyceraldehyde-3-phosphate dehydrogenase	GAPD			12p13.31	
GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	GAPDS		GAPDH-2, GAPD2	19q13.12	
GAPT	GRB2 binding adaptor protein, transmembrane	C5orf29	chromosome 5 open reading frame 29	FLJ33641	5q11.2	
GAPVD1	GTPase activating protein and VPS9 domains 1			DKFZP434C212, KIAA1521	9q33.3	928
GAR1	GAR1 ribonucleoprotein	NOLA1	"nucleolar protein family A, member 1 (H/ACA small nucleolar RNPs), ""GAR1 ribonucleoprotein homolog (yeast)"""		4q25	1221
GAREM1	GRB2 associated regulator of MAPK1 subtype 1	C18orf11, FAM59A, GAREM	"chromosome 18 open reading frame 11, ""family with sequence similarity 59, member A"", ""GRB2 associated, regulator of MAPK1"""	FLJ21610	18q12.1	
GAREM2	GRB2 associated regulator of MAPK1 subtype 2	FAM59B, GAREML	"family with sequence similarity 59, member B, ""GRB2 associated, regulator of MAPK1-like"""	KIAA2038, FLJ00375	2p23.3	
GARNL3	GTPase activating Rap/RanGAP domain like 3		"GTPase activating RANGAP domain-like 3, ""GTPase activating Rap/RanGAP domain-like 3"""	DKFZp761J1523, bA356B19.1	9q33.3	
GARS	glycyl-tRNA synthetase	CMT2D	Charcot-Marie-Tooth neuropathy 2D	GlyRS, DSMAV, SMAD1	7p14.3	132
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	PRGS, PGFT			21q22.11	
GAS1	growth arrest specific 1				9q21.33	
GAS2	growth arrest specific 2				11p14.3	
GAS2L1	growth arrest specific 2 like 1			GAR22	22q12.2	
GAS2L2	growth arrest specific 2 like 2			GAR17	17q12	
GAS2L3	growth arrest specific 2 like 3				12q23.1	
GAS6	growth arrest specific 6	AXLLG	AXL receptor tyrosine kinase ligand	AXSF, FLJ34709, DKFZp666G247	13q34	1250
GAS7	growth arrest specific 7			KIAA0394, MGC1348	17p13.1	1288
GAS8	growth arrest specific 8	GAS11	growth arrest-specific 11	DRC4	16q24.3	981
GAST	gastrin	GAS			17q21.2	542
GATA1	GATA binding protein 1	GF1	"GATA-binding protein 1 (globin transcription factor 1), ""globin transcription factor 1"""	ERYF1, NFE1, GATA-1, NF-E1	Xp11.23	82
GATA2	GATA binding protein 2		GATA-binding protein 2	NFE1B	3q21.3	82
GATA3	GATA binding protein 3		GATA-binding protein 3	HDR	10p14	82
GATA4	GATA binding protein 4		GATA-binding protein 4		8p23.1	82
GATA5	GATA binding protein 5		GATA-binding protein 5	bB379O24.1, GATAS	20q13.33	82
GATA6	GATA binding protein 6		GATA-binding protein 6		18q11.2	82
GATAD1	GATA zinc finger domain containing 1			ODAG, RG083M05.2, FLJ22489	7q21.2	82|1243
GATAD2A	GATA zinc finger domain containing 2A			p66alpha	19p13.11	82
GATAD2B	GATA zinc finger domain containing 2B			P66beta	1q21.3	82
GATB	glutamyl-tRNA amidotransferase subunit B	PET112L, PET112	"PET112 (yeast homolog)-like, ""glutamyl-tRNA(Gln) amidotransferase, subunit B"""		4q31.3	
GATC	glutamyl-tRNA amidotransferase subunit C		glutamyl-tRNA(Gln) amidotransferase, subunit C homolog (bacterial)	FLJ37000, 15E1.2, gatC	12q24.31	
GATD1	glutamine amidotransferase like class 1 domain containing 1	PDDC1	Parkinson disease 7 domain containing 1	FLJ34283	11p15.5	1408
GATM	glycine amidinotransferase			AGAT	15q21.1	
GATS	GATS, stromal antigen 3 opposite strand			DKFZp686B07267, STAG3OS	7q22.1	
GBA	glucosylceramidase beta	GLUC	"glucosylceramidase, ""glucosidase, beta; acid (includes glucosylceramidase)"", ""glucosidase, beta, acid"""	GBA1	1q22	
GBA2	glucosylceramidase beta 2	SPG46	"spastic paraplegia 46 (autosomal recessive), ""glucosidase, beta (bile acid) 2"""	KIAA1605, AD035, DKFZp762K054	9p13.3	
GBA3	glucosylceramidase beta 3 (gene/pseudogene)		"glucosidase, beta, acid 3 (cytosolic), ""glucosidase, beta, acid 3 (gene/pseudogene)"""	GLUC, KLrP	4p15.2	
GBE1	1,4-alpha-glucan branching enzyme 1		glucan (1,4-alpha-), branching enzyme 1		3p12.2	
GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1		golgi-specific brefeldin A resistance factor 1	KIAA0248, ARF1GEF	10q24.32	
GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)			UDP-GalNAc, A3GALNT, MGC44848, FS	9q34.2	429|454
GBP1	guanylate binding protein 1		"guanylate binding protein 1, interferon-inducible, 67kDa, ""guanylate binding protein 1, interferon-inducible"""		1p22.2	
GBP2	guanylate binding protein 2		guanylate binding protein 2, interferon-inducible		1p22.2	
GBP3	guanylate binding protein 3			FLJ10961	1p22.2	
GBP4	guanylate binding protein 4			Mpa2	1p22.2	
GBP5	guanylate binding protein 5				1p22.2	
GBP6	guanylate binding protein family member 6		guanylate binding protein family, member 6	DKFZp686G0786	1p22.2	
GBP7	guanylate binding protein 7			FLJ38822, GBP4L	1p22.2	
GBX1	gastrulation brain homeobox 1		gastrulation brain homeo box 1		7q36.1	518
GBX2	gastrulation brain homeobox 2		gastrulation brain homeo box 2		2q37.2	518
GC	GC, vitamin D binding protein		group-specific component (vitamin D binding protein)	DBP, VDBP, hDBP	4q13.3	
GCA	grancalcin		"grancalcin, EF-hand calcium-binding protein, ""grancalcin, EF-hand calcium binding protein"""	GCL	2q24.2	863
GCAT	glycine C-acetyltransferase		glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)	KBL	22q13.1	
GCC1	GRIP and coiled-coil domain containing 1		golgi coiled-coil 1	FLJ22035, GCC88, GCC1P, MGC20706	7q32.1	
GCC2	GRIP and coiled-coil domain containing 2		GRIP and coiled-coil domain-containing 2	GCC185, KIAA0336	2q12.3	
GCDH	glutaryl-CoA dehydrogenase		glutaryl-Coenzyme A dehydrogenase	ACAD5	19p13.13	974
GCFC2	GC-rich sequence DNA-binding factor 2	TCF9, C2orf3	"transcription factor 9 (binds GC-rich sequences), ""chromosome 2 open reading frame 3"""	DNABF, GCF	2p12	
GCG	glucagon			GLP1, GLP2, GRPP, GLP-1	2q24.2	542
GCGR	glucagon receptor			GGR	17q25.3	269
GCH1	GTP cyclohydrolase 1	GCH, DYT5, DYT14	dystonia 14	GTPCH1, DYT5a	14q22.2	
GCHFR	GTP cyclohydrolase I feedback regulator		GTP cyclohydrolase I feedback regulatory protein	GFRP, HsT16933	15q15.1	
GCK	glucokinase	MODY2	"maturity onset diabetes of the young 2, ""glucokinase (hexokinase 4)"""	HK4	7p13	
GCKR	glucokinase regulator		glucokinase (hexokinase 4) regulatory protein		2p23.3	
GCLC	glutamate-cysteine ligase catalytic subunit	GLCLC, GLCL	glutamate-cysteine ligase, catalytic subunit	GCS	6p12.1	
GCLM	glutamate-cysteine ligase modifier subunit	GLCLR	glutamate-cysteine ligase, modifier subunit		1p22.1	
GCM1	glial cells missing homolog 1	GCMA	"glial cells missing (Drosophila) homolog a, ""glial cells missing homolog 1 (Drosophila)"""	hGCMa	6p12.1	
GCM2	glial cells missing homolog 2	GCMB	"glial cells missing (Drosophila) homolog b, ""glial cells missing homolog 2 (Drosophila)"""	hGCMb	6p24.2	
GCN1	GCN1, eIF2 alpha kinase activator homolog	GCN1L1	"GCN1 (general control of amino-acid synthesis 1, yeast)-like 1, ""GCN1 general control of amino-acid synthesis 1-like 1 (yeast)"""	KIAA0219, GCN1L	12q24.23	
GCNA	germ cell nuclear acidic peptidase	ACRC	acidic repeat containing	NAAR1	Xq13.1	
GCNT1	glucosaminyl (N-acetyl) transferase 1, core 2	NACGT2	glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase)	C2GNT, NAGCT2	9q21.13	441
GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	NACGT1, II, GCNT5, CCAT	"glucosaminyl (N-acetyl) transferase 5, ""glucosaminyl (N-acetyl) transferase 2, I-branching enzyme"", ""glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (Ii blood group)"", ""cataract, congenital"""	IGNT, NAGCT1, bA421M1.1, bA360O19.2, ULG3	6p24.3-p24.2	441|454
GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type			C2GnT-M, C2/4GnT, C2GnT2	15q22.2	441
GCNT4	glucosaminyl (N-acetyl) transferase 4, core 2		glucosaminyl (N-acetyl) transferase 4, core 2 (beta-1,6-N-acetylglucosaminyltransferase)	C2GNT3	5q13.3	441
GCNT6	glucosaminyl (N-acetyl) transferase 6			bA421M1.3	6p24.2	441
GCNT7	glucosaminyl (N-acetyl) transferase family member 7	C20orf105	chromosome 20 open reading frame 105	dJ1153D9.2	20q13.31	441
GCSAM	germinal center associated signaling and motility	GCET2	germinal center expressed transcript 2	MGC40441, HGAL	3q13.2	
GCSAML	germinal center associated signaling and motility like	C1orf150	chromosome 1 open reading frame 150	FLJ44728	1q44	
GCSH	glycine cleavage system protein H		glycine cleavage system protein H (aminomethyl carrier)		16q23.2	
GDA	guanine deaminase				9q21.13	
GDAP1	ganglioside induced differentiation associated protein 1	CMT4A	Charcot-Marie-Tooth neuropathy 4A	CMT4, CMT2K	8q21.11	
GDAP1L1	ganglioside induced differentiation associated protein 1 like 1		ganglioside induced differentiation associated protein 1-like 1		20q13.12	
GDAP2	ganglioside induced differentiation associated protein 2			FLJ20142, dJ776P7.1, MACROD3	1p12	1299
GDE1	glycerophosphodiester phosphodiesterase 1			MIR16	16p12.3	
GDF1	growth differentiation factor 1				19p13.11	542
GDF2	growth differentiation factor 2			BMP-9, BMP9	10q11.22	542
GDF3	growth differentiation factor 3				12p13.31	542
GDF5	growth differentiation factor 5			CDMP1, BMP14	20q11.22	
GDF6	growth differentiation factor 6	SGM1	segmentation syndrome 1	BMP13, KFS, KFS1	8q22.1	
GDF7	growth differentiation factor 7			BMP12	2p24.1	
GDF9	growth differentiation factor 9				5q31.1	542
GDF10	growth differentiation factor 10			BMP-3b	10q11.22	542
GDF11	growth differentiation factor 11			BMP-11	12q13.2	
GDF15	growth differentiation factor 15			PLAB, MIC-1, PDF, MIC1, NAG-1, PTGFB	19p13.11	
GDI1	GDP dissociation inhibitor 1	MRX48, MRX41, GDIL		RABGDIA, XAP-4, OPHN2, FLJ41411	Xq28	103
GDI2	GDP dissociation inhibitor 2			RABGDIB	10p15.1	
GDNF	glial cell derived neurotrophic factor			ATF1, ATF2, HFB1-GDNF	5p13.2	542
GDPD1	glycerophosphodiester phosphodiesterase domain containing 1			FLJ37451, GDE4	17q22	
GDPD2	glycerophosphodiester phosphodiesterase domain containing 2			OBDPF, FLJ20207, GDE3	Xq13.1	
GDPD3	glycerophosphodiester phosphodiesterase domain containing 3			MGC4171	16p11.2	
GDPD4	glycerophosphodiester phosphodiesterase domain containing 4			GDE6	11q13.5	
GDPD5	glycerophosphodiester phosphodiesterase domain containing 5			PP1665, GDE2	11q13.4-q13.5	
GDPGP1	GDP-D-glucose phosphorylase 1	C15orf58	chromosome 15 open reading frame 58		15q26.1	
GEM	GTP binding protein overexpressed in skeletal muscle		GTP-binding protein overexpressed in skeletal muscle	KIR	8q22.1	1260
GEMIN2	gem nuclear organelle associated protein 2	SIP1	"survival of motor neuron protein interacting protein 1, ""gem (nuclear organelle) associated protein 2"""		14q21.1	1500|1131
GEMIN4	gem nuclear organelle associated protein 4		gem (nuclear organelle) associated protein 4	HHRF-1, DKFZP434B131, p97, DKFZP434D174, HC56, HCAP1	17p13.3	1500|1131|870
GEMIN5	gem nuclear organelle associated protein 5		gem (nuclear organelle) associated protein 5		5q33.2	1500|1131|362
GEMIN6	gem nuclear organelle associated protein 6		gem (nuclear organelle) associated protein 6	FLJ23459	2p22.1	1500|1131
GEMIN7	gem nuclear organelle associated protein 7		gem (nuclear organelle) associated protein 7	FLJ13956	19q13.32	1500|1131
GEMIN8	gem nuclear organelle associated protein 8	FAM51A1	"family with sequence similarity 51, member A1, ""gem (nuclear organelle) associated protein 8"""	FLJ20514	Xp22.2	1131
GEN1	GEN1, Holliday junction 5' flap endonuclease		Gen endonuclease homolog 1 (Drosophila)	FLJ40869, Gen	2p24.2	
GET4	golgi to ER traffic protein 4	C7orf20	"chromosome 7 open reading frame 20, ""golgi to ER traffic protein 4 homolog (S. cerevisiae)"""	CGI-20, H_NH1244M04.5, CEE, TRC35	7p22.3	
GFAP	glial fibrillary acidic protein			FLJ45472	17q21.31	610
GFER	growth factor, augmenter of liver regeneration		growth factor, erv1 (S. cerevisiae)-like (augmenter of liver regeneration)	HSS, ERV1, ALR, HERV1, HPO1, HPO2	16p13.3	
GFI1	growth factor independent 1 transcriptional repressor	ZNF163	growth factor independent 1	GFI1A, GFI-1	1p22.1	28|1259
GFI1B	growth factor independent 1B transcriptional repressor		growth factor independent 1B (potential regulator of CDKN1A, translocated in CML)	ZNF163B	9q34.13	28|1259
GFM1	G elongation factor mitochondrial 1		G translation elongation factor, mitochondrial	EFGM, GFM, EGF1	3q25.32	
GFM2	G elongation factor mitochondrial 2			EFG2, FLJ21661	5q13.3	
GFOD1	glucose-fructose oxidoreductase domain containing 1	C6orf114	chromosome 6 open reading frame 114	FLJ20330, ADG-90	6p24.1-p23	
GFOD2	glucose-fructose oxidoreductase domain containing 2			FLJ23802, MGC11335	16q22.1	
GFPT1	glutamine--fructose-6-phosphate transaminase 1	GFPT	glutamine-fructose-6-phosphate transaminase 1	GFAT, GFA, GFAT1	2p13.3	
GFPT2	glutamine-fructose-6-phosphate transaminase 2			GFAT2	5q35.3	
GFRA1	GDNF family receptor alpha 1	GDNFRA		RETL1, GDNFR, GFR-ALPHA-1, RET1L, TRNR1	10q25.3	
GFRA2	GDNF family receptor alpha 2			RETL2, GDNFRB, NTNRA, TRNR2	8p21.3	
GFRA3	GDNF family receptor alpha 3			GFRa-3	5q31.2	
GFRA4	GDNF family receptor alpha 4				20p13	
GFRAL	GDNF family receptor alpha like	C6orf144	chromosome 6 open reading frame 144	GRAL, UNQ9356, bA360D14.1	6p12.1	
GFY	golgi associated olfactory signaling regulator			Goofy	19q13.33	
GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1				22q13.1	1031
GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2		golgi-associated, gamma adaptin ear containing, ARF binding protein 2	VEAR, KIAA1080	16p12.2	1031
GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3		golgi-associated, gamma adaptin ear containing, ARF binding protein 3	KIAA0154	17q25.1	1031
GGACT	gamma-glutamylamine cyclotransferase	A2LD1	AIG2-like domain 1		13q32.3	
GGCT	gamma-glutamylcyclotransferase	C7orf24, GCTG	chromosome 7 open reading frame 24	MGC3077, CRF21, Ggc	7p14.3	
GGCX	gamma-glutamyl carboxylase			VKCFD1	2p11.2	
GGH	gamma-glutamyl hydrolase				8q12.3	
GGN	gametogenetin			FLJ35713, MGC33369	19q13.2	
GGNBP2	gametogenetin binding protein 2	ZNF403	zinc finger protein 403	ZFP403, LZK1, FLJ22561, FLJ21230, DIF-3, DIF3	17q12	
GGPS1	geranylgeranyl diphosphate synthase 1			GGPPS1	1q42.3	
GGT1	gamma-glutamyltransferase 1	GGT		D22S672, D22S732, CD224	22q11.23	564|471
GGT2	gamma-glutamyltransferase 2	GGT			22q11.21	564
GGT5	gamma-glutamyltransferase 5	GGTLA1	gamma-glutamyltransferase-like activity 1	GGT-REL	22q11.23	564
GGT6	gamma-glutamyltransferase 6		gamma-glutamyltransferase 6 homolog (rat)	FLJ90165	17p13.2	564
GGT7	gamma-glutamyltransferase 7	GGTL5, GGTL3	gamma-glutamyltransferase-like 3	D20S101, dJ18C9.2	20q11.22	564
GGTLC1	gamma-glutamyltransferase light chain 1	GGTLA4, GGTLA3	"gamma-glutamyltransferase-like activity 4, ""gamma-glutamyltransferase-like activity 3"""	dJ831C21.2, dJ831C21.1	20p11.21	564
GGTLC2	gamma-glutamyltransferase light chain 2	GGTL4	gamma-glutamyltransferase-like 4		22q11.22	564
GH1	growth hormone 1			GH-N, GHN, GH, hGH-N	17q23.3	542|1175
